,old_names,new_names
1,enterococcus_faecium_Aus0085_nc_021994.1,Ent.1
2,pseudomonas_aeruginosa_PAO1_nc_002516.2,Ps.2
3,staphylococcus_haemolyticus_jcsc1435_nc_007168.1,St.3
4,pantoea_ananatis_lmg5342_nc_016816.1,KECS.4
5,e_coli_O103-H2-12009_nc_013353.1,Ecoli.5
6,pseudomonas_aeruginosa_PA7_nc_009656.1,Ps.6
7,enterococcus_faecalis_fdaargos338_cp_022059.1,Ent.7
8,e_coli_BW2952_nc_012759.1,Ecoli.8
9,proteus_mirabilis_HI4320_nc_010554.1,Pm.9
10,enterococcus_faecalis_sorialis_nz_cp015883.1,Ent.10
11,e_coli_UTI89_nc_007946.1,Ecoli.11
12,staphylococcus_haemolyticus_Sh29-312-L2_cp_cp011116.1,St.12
13,enterococcus_faecalis_LD33_nz_cp014949.1,Ent.13
14,pseudomonas_aeruginosa_NCGM2-S1_nc_017549.1,Ps.14
15,pseudomonas_aeruginosa_YCBPP-PA14_nc_008463.1,Ps.15
16,pseudomonas_aeruginosa_LESB58_nc_011770.1,Ps.16
17,staphylococcus_aureus_mw2_nc_003923.1,St.17
18,proteus_mirabilis_BB2000_nc_022000.1,Pm.18
19,enterococcus_faecalis_L9_nz_cp018004.2,Ent.19
20,e_coli_O83-H1-NRG857C_nc_017634.1,Ecoli.20
21,serratia_liquefaciens_atcc27592_nc_021741.1,KECS.21
22,pseudomonas_fluorescens_f113_nc_016830.1,Ps.22
23,e_coli_HS_nc_009800.1,Ecoli.23
24,enterococcus_faecalis_L12_nz_cp018102.1,Ent.24
25,e_coli_O111-H-11128_nc_013364.1,Ecoli.25
26,enterococcus_faecium_Aus004_nc_017022.1,Ent.26
27,e_coli_SE15DNA_nc_013654.1,Ecoli.27
28,e_coli_ATCC8739_nc_010468.1,Ecoli.28
29,staphylococcus_aureus_Newman_nc_009641.1,St.29
30,proteus_mirabilis_AR0155_nz_cp021694.1,Pm.30
31,e_coli_IAI39_nc_011750.1,Ecoli.31
32,pseudomonas_aeruginosa_SCV20265_nc_023149.1,Ps.32
33,proteus_mirabilis_CYPM1_nz_cp012674.1,Pm.33
34,citrobacter_koseri_fdaargos287_cp_022073.1,KECS.34
35,enterococcus_faecalis_D32_nc_018221.1,Ent.35
36,e_coli_E24377A_nc_009801.1,Ecoli.36
37,klebsiella_pneumoniae_hs11286_nc_016845.1,KECS.37
38,e_coli_K12-MG1655_nc_000913.3,Ecoli.38
39,e_coli_O104-H4-2011C3493_nc_018658.1,Ecoli.39
40,proteus_mirabilis_AR0156_nz_cp021852.1,Pm.40
41,enterococcus_faecalis_DENG1_nz_cp004081.1,Ent.41
42,enterococcus_faecium_DO_nc_017960.1,Ent.42
43,proteus_mirabilis_AR0159_nz_cp021550.1,Pm.43
44,e_coli_K12-DH10B_nc_010473.1,Ecoli.44
45,morganella_morganii_kt_nc_020418.1,MM.45
46,pseudomonas_aeruginosa_DK2_nc_018080.1,Ps.46
47,proteus_mirabilis_AOUC001_nz_cp015347.1,Pm.47
48,staphylococcus_haemolyticus_S167_nz_cp013911.1,St.48
49,enterococcus_faecalis_symbioflor1_nc_019770.1,Ent.49
50,enterococcus_faecalis_KB1_nz_cp015410.2,Ent.50
51,e_coli_SE11DNA_nc_011415.1,Ecoli.51
52,e_coli_536_nc_008253.1,Ecoli.52
53,e_coli_BL21-DE3_nc_012892.2,Ecoli.53
54,e_coli_cft073_nc_004431.1,Ecoli.54
55,staphylococcus_simulans_fdaargos124_nz_cp014016.1,St.55
56,e_coli_O157-H7-Sakai_nc_002695.1,Ecoli.56
57,e_coli_K12-W3110DNA_nc_007779.1,Ecoli.57
58,staphylococcus_capitis_ayp1020_nz_cp007601.1,St.58
59,e_coli_BW2952_nc_012759.1,Ecoli.59
60,klebsiella_pneumoniae_kp36_nz_cp017385.1_chr,KECS.60
61,e_coli_SMS-3-5_nc_010498.1,Ecoli.61
62,enterococcus_faecalis_CLB21560_nz_cp019512.1,Ent.62
63,enterococcus_faecalis_OG1RF_nc_017316.1,Ent.63
64,klebsiella_oxytoca_cav1335_nz_cp011618.1,KECS.64
65,proteus_mirabilis_AR0059_nz_cp020052.1,Pm.65
66,enterococcus_faecalis_ATCC29212_nz_cp008816.1,Ent.66
67,enterobacter_cloacae_atcc13047_nc_014121.1,KECS.67
