,K11204,K11205,K01919,K21456,K01920
Ecoli.53,0.0,0.0,0.0,0.0,1.0
Pm.9,0.0,0.0,1.0,0.0,1.0
KECS.64,0.0,0.0,1.0,0.0,1.0
Ent.24,0.0,0.0,1.0,0.0,0.0
Pm.18,0.0,0.0,1.0,0.0,0.0
St.17,0.0,0.0,0.0,0.0,0.0
KECS.60,0.0,0.0,1.0,0.0,1.0
Ecoli.27,0.0,0.0,0.0,0.0,1.0
Ent.50,0.0,0.0,0.0,0.0,0.0
St.48,0.0,0.0,0.0,0.0,0.0
Ecoli.11,0.0,0.0,0.0,0.0,1.0
Pm.43,0.0,0.0,0.0,0.0,1.0
Pm.47,0.0,0.0,0.0,0.0,1.0
Ent.7,0.0,0.0,1.0,0.0,0.0
Pm.30,0.0,0.0,0.0,0.0,1.0
Pm.40,0.0,0.0,0.0,0.0,0.0
St.3,0.0,0.0,0.0,0.0,0.0
Ent.19,0.0,0.0,0.0,0.0,0.0
Ent.1,0.0,0.0,1.0,0.0,0.0
Ecoli.56,0.0,0.0,0.0,0.0,1.0
Pm.33,0.0,0.0,1.0,0.0,0.0
Ps.14,0.0,0.0,1.0,0.0,1.0
Ent.8,0.0,0.0,0.0,0.0,1.0
KECS.21,0.0,0.0,1.0,0.0,1.0
KECS.37,0.0,0.0,1.0,0.0,1.0
Ent.26,0.0,0.0,1.0,0.0,0.0
Ent.67,0.0,0.0,1.0,0.0,1.0
Ent.66,0.0,0.0,0.0,0.0,0.0
Ps.16,0.0,0.0,1.0,0.0,0.0
Ecoli.28,0.0,0.0,1.0,0.0,0.0
Ent.49,0.0,0.0,0.0,0.0,0.0
Ps.2,0.0,0.0,1.0,0.0,0.0
Ps.46,0.0,0.0,1.0,0.0,0.0
Ecoli.59,0.0,0.0,0.0,0.0,1.0
Ent.63,0.0,0.0,0.0,0.0,0.0
Ecoli.31,0.0,0.0,0.0,0.0,1.0
Ps.32,0.0,0.0,1.0,0.0,1.0
Ecoli.36,0.0,0.0,0.0,0.0,1.0
Ecoli.45,0.0,0.0,1.0,0.0,1.0
Ecoli.51,0.0,0.0,0.0,0.0,1.0
Ent.13,0.0,0.0,0.0,0.0,0.0
KECS.4,0.0,0.0,1.0,0.0,1.0
KECS.34,0.0,0.0,1.0,0.0,1.0
Ent.10,0.0,0.0,0.0,0.0,0.0
Ecoli.5,0.0,0.0,0.0,0.0,1.0
Ecoli.39,0.0,0.0,1.0,0.0,0.0
Pm.65,0.0,0.0,0.0,0.0,1.0
Ent.42,0.0,0.0,1.0,0.0,0.0
Ecoli.57,0.0,0.0,0.0,0.0,1.0
Ent.41,0.0,0.0,0.0,0.0,0.0
St.58,0.0,0.0,0.0,0.0,0.0
Ecoli.38,0.0,0.0,0.0,0.0,1.0
Ecoli.44,0.0,0.0,0.0,0.0,1.0
Ecoli.61,0.0,0.0,0.0,0.0,1.0
St.29,0.0,0.0,0.0,0.0,0.0
Ps.22,0.0,0.0,1.0,0.0,1.0
St.55,0.0,0.0,0.0,0.0,0.0
Ent.62,0.0,0.0,0.0,0.0,0.0
Ecoli.23,0.0,0.0,0.0,0.0,1.0
Ecoli.25,0.0,0.0,0.0,0.0,1.0
St.12,0.0,0.0,0.0,0.0,0.0
Ps.6,0.0,0.0,1.0,0.0,0.0
Ecoli.54,0.0,0.0,1.0,0.0,1.0
Ecoli.20,0.0,0.0,0.0,0.0,1.0
Ent.35,0.0,0.0,0.0,0.0,0.0
Ecoli.52,0.0,0.0,0.0,0.0,1.0
Ps.15,0.0,0.0,1.0,0.0,0.0
