,Ps.0,Ent.1,Ps.2,Ecoli.3,Ent.4,Ent.5,St.6,Ecoli.7,Pm.8,KECS.9,Ecoli.10,Ent.11,Ecoli.12,Ecoli.13,Ent.14,MM,St.16,Ecoli.17,Pm.18,Ecoli.19,Ps.20,Ecoli.21,Ecoli.22,Ecoli.23,Ecoli.24,Ecoli.25,Pm.26,Ps.27,Ent.28,Pm.29,Pm.30,Ecoli.31,Ecoli.32,St.33,Ent.34,Ent.35,Ent.36,Ecoli.37,Ps.38,Ent.39,St.40,Pm.41,Ps.42,Ent.43,Ent.44,Ps.45,KECS.46,Ent.47,KECS.48,Ent.49,Ent.50,Ecoli.51,St.52,St.53,Pm.54,Ent.55,Ent.56,Ecoli.57,St.58,Ps.59,Ecoli.60,Ecoli.61,Pm.62,KECS,KECS,Ecoli.65,KECS
Ps,1,0.54018826937,0.535612535613,0.517148621385,0.543201133144,0.587357954545,0.582655826558,0.511288180611,0.52633969119,0.538231780167,0.526478679505,0.538004750594,0.523355263158,0.526816883529,0.541984732824,0.523953388002,0.55295735901,0.529332434255,0.535772357724,0.516767805813,0.535139964264,0.526224982747,0.527532290959,0.51217003771,0.533942161339,0.513936097893,0.52210175146,0.554953806945,0.561643835616,0.520134228188,0.532780082988,0.525084745763,0.515945689927,0.548993288591,0.531377899045,0.545646067416,0.544985250737,0.518112329678,0.545872967168,0.553713049748,0.543447293447,0.513802315227,0.545775778991,0.519123997532,0.549033643522,0.53361618799,0.527399333939,0.554112554113,0.535724292519,0.552649690296,0.564157706093,0.525636891325,0.557807807808,0.563328424153,0.531687242798,0.526224982747,0.59849198869,0.518505942275,0.580213903743,0.541225537376,0.525407779172,0.525467440361,0.51894918174,0.524612272421,0.528705806033,0.541425260718,0.520220588235
En,0.23024691358,1,0.259259259259,0.329858776059,0.499291784703,0.511363636364,0.49593495935,0.321381142098,0.445049954587,0.262544802867,0.336313617607,0.453087885986,0.29375,0.279276420184,0.519083969466,0.400517911092,0.508253094911,0.333782872556,0.317073170732,0.267326732673,0.237045860631,0.344375431332,0.325628823929,0.326362701406,0.306240487062,0.31033310673,0.367806505421,0.24689391526,0.509012256669,0.342281879195,0.373443983402,0.319661016949,0.313545942532,0.51610738255,0.490450204638,0.547050561798,0.516961651917,0.302426055168,0.240257747775,0.508291276136,0.500712250712,0.406500445236,0.268872470286,0.253855644664,0.496778811739,0.2522845953,0.290039358159,0.508658008658,0.253292238722,0.467997247075,0.503225806452,0.308610125766,0.506006006006,0.503681885125,0.343209876543,0.344375431332,0.507068803016,0.324617996604,0.526737967914,0.25954443375,0.281367628607,0.262088974855,0.385012919897,0.335131490223,0.287058060331,0.280417149479,0.336029411765
Ps,0.522222222222,0.593048515568,1,0.522528581036,0.583569405099,0.579545454545,0.569105691057,0.527888446215,0.554495912807,0.520609318996,0.52613480055,0.563539192399,0.517105263158,0.527768962234,0.540596807772,0.53560638757,0.581155433287,0.532029669589,0.504471544715,0.53912488023,0.513103037522,0.524844720497,0.530251529572,0.523140212547,0.514459665145,0.535690006798,0.52210175146,0.547626632686,0.571016582552,0.513422818792,0.53153526971,0.509491525424,0.514682664983,0.609395973154,0.549795361528,0.582162921348,0.56784660767,0.507477567298,0.556919300399,0.579668348955,0.594017094017,0.529830810329,0.554449084484,0.523133867983,0.568360773085,0.572454308094,0.526188313654,0.566378066378,0.530961053516,0.562973158981,0.597849462366,0.52176717188,0.566066066066,0.568483063328,0.540329218107,0.524844720497,0.57492931197,0.525636672326,0.586898395722,0.559191530318,0.510978670013,0.511605415861,0.521533161068,0.512811867835,0.50729808628,0.524913093859,0.532720588235
Ecoli,0.474691358025,0.710354815351,0.491927825261,1,0.684844192635,0.686789772727,0.727642276423,0.702855245684,0.707992733878,0.602150537634,0.729367262724,0.687648456057,0.666447368421,0.570929863535,0.697432338654,0.707811825637,0.680192572215,0.715104517869,0.729268292683,0.576173746407,0.49225729601,0.712905452036,0.709721278042,0.658896126157,0.648706240487,0.693405846363,0.700166805671,0.504300732717,0.71160778659,0.667785234899,0.713278008299,0.715593220339,0.664035364698,0.680536912752,0.673942701228,0.684691011236,0.705014749263,0.669657693586,0.501994476833,0.682047584715,0.67735042735,0.709260908281,0.520077096049,0.574645280691,0.700071581961,0.532310704961,0.622161671208,0.695526695527,0.549453628467,0.677219545767,0.691039426523,0.695259593679,0.663663663664,0.680412371134,0.707818930041,0.712905452036,0.68520263902,0.716808149406,0.674465240642,0.516522297081,0.641154328733,0.590586718246,0.703273040482,0.688806473365,0.632825170289,0.596755504056,0.701102941176
Ent,0.236728395062,0.510499637944,0.26084203862,0.325151311365,1,0.543323863636,0.544715447154,0.320717131474,0.465031789282,0.281063321386,0.333218707015,0.450712589074,0.300328947368,0.271977150111,0.540596807772,0.410876132931,0.563273727648,0.347269049225,0.35162601626,0.246247205366,0.244788564622,0.350931677019,0.332766825289,0.328762427151,0.322678843227,0.304894629504,0.376563803169,0.276521185091,0.567411679885,0.385906040268,0.38132780083,0.325423728814,0.316387748658,0.528859060403,0.534106412005,0.516853932584,0.58185840708,0.304752409438,0.252531451365,0.529920692141,0.525641025641,0.424309884239,0.279794410536,0.278531770512,0.514674302076,0.269908616188,0.291855888586,0.572871572872,0.248809190249,0.529249827942,0.584229390681,0.31151241535,0.563813813814,0.559646539028,0.355967078189,0.350931677019,0.561734213007,0.333786078098,0.527406417112,0.272698107154,0.287013801757,0.27530625403,0.394056847545,0.341200269724,0.307492701914,0.284472769409,0.342279411765
Ent,0.25524691358,0.521361332368,0.258309591643,0.325151311365,0.54178470255,1,0.59756097561,0.314409030544,0.456403269755,0.277180406213,0.337001375516,0.463182897862,0.297368421053,0.270390352269,0.515614156836,0.418213206733,0.570839064649,0.330074173972,0.341056910569,0.257745129352,0.255211435378,0.357487922705,0.335146159075,0.298594446349,0.317808219178,0.312712440517,0.379899916597,0.266008282893,0.590483056957,0.384228187919,0.384647302905,0.323389830508,0.314177455005,0.551006711409,0.517735334243,0.553370786517,0.578171091445,0.313725490196,0.254986192083,0.559480894016,0.570512820513,0.40071237756,0.26244779955,0.257248611968,0.505368647101,0.269908616188,0.301846805934,0.539682539683,0.246287475483,0.472126634549,0.560573476703,0.323121573686,0.563813813814,0.561119293078,0.348559670782,0.357487922705,0.568331762488,0.344651952462,0.54077540107,0.266281681104,0.284504391468,0.27304964539,0.378122308355,0.340863115307,0.300356795329,0.289687137891,0.351102941176
St,0.132716049383,0.265025343954,0.132953466287,0.180564895763,0.284702549575,0.313210227273,1,0.177622841965,0.247048138056,0.15651135006,0.172283356259,0.246437054632,0.175986842105,0.163122818153,0.269257460097,0.233059991368,0.348005502063,0.187795010115,0.186585365854,0.150750558927,0.141155449672,0.192201518288,0.176410605031,0.172094617758,0.172602739726,0.178789938817,0.198081734779,0.144632048423,0.313626532084,0.196308724832,0.202489626556,0.185762711864,0.164824755289,0.281208053691,0.274215552524,0.271769662921,0.323008849558,0.172482552343,0.137158637619,0.302811824081,0.292735042735,0.223063223508,0.140379055573,0.138494756323,0.28561202577,0.130221932115,0.163790493491,0.30303030303,0.119921546652,0.26083964212,0.317562724014,0.17413737504,0.337087087087,0.365979381443,0.171604938272,0.192201518288,0.382657869934,0.184380305603,0.293449197861,0.141161373115,0.151191969887,0.163765312701,0.191645133506,0.175657451113,0.164774570224,0.152954808806,0.187867647059
Ecoli,0.475308641975,0.70094134685,0.503323836657,0.711835911231,0.684135977337,0.672585227273,0.724932249322,1,0.691643960036,0.590203106332,0.686382393398,0.692399049881,0.682894736842,0.598222786417,0.680777238029,0.698748381528,0.687757909216,0.695549561699,0.698780487805,0.58926860428,0.480941036331,0.691511387164,0.69068660775,0.677065478231,0.666362252664,0.693405846363,0.690992493745,0.499840713603,0.695025234319,0.704697986577,0.696680497925,0.714237288136,0.686454057468,0.678523489933,0.678035470668,0.700140449438,0.690265486726,0.670322366235,0.491561828782,0.684931506849,0.67735042735,0.70213713268,0.517185994218,0.578655151141,0.698639942734,0.530678851175,0.627308507417,0.674603174603,0.54749229476,0.697178251893,0.670967741935,0.69590454692,0.676426426426,0.677466863034,0.695473251029,0.691511387164,0.674835061263,0.699151103565,0.671122994652,0.53031761309,0.643350062735,0.599290780142,0.685615848407,0.695886716116,0.638014920532,0.596465816918,0.695955882353
Pm,0.357716049383,0.70963070239,0.386514719848,0.524209818426,0.725212464589,0.713778409091,0.737127371274,0.505644090305,1,0.433990442055,0.541265474553,0.723871733967,0.484868421053,0.429387496033,0.721027064539,0.634009495037,0.720770288858,0.525286581254,0.55081300813,0.417757904823,0.381179273377,0.541752933057,0.519374575119,0.510455947892,0.493150684932,0.50611828688,0.606755629691,0.395985982797,0.700072098053,0.578859060403,0.584647302905,0.508474576271,0.500157878118,0.712080536913,0.69031377899,0.700140449438,0.691002949853,0.495181123297,0.376802700215,0.705839942322,0.69301994302,0.669189670525,0.406681657565,0.416718075262,0.722261989979,0.398498694517,0.457765667575,0.699855699856,0.399831885682,0.715760495526,0.702508960573,0.487907126733,0.696696696697,0.703976435935,0.540329218107,0.541752933057,0.71630537229,0.514091680815,0.70320855615,0.405197305101,0.452007528231,0.422308188266,0.624461670973,0.521240728254,0.465780084333,0.447276940904,0.550367647059
KECS,0.556172839506,0.636495293266,0.55175688509,0.677874915938,0.666430594901,0.659090909091,0.710027100271,0.65604249668,0.659854677566,1,0.666781292985,0.6567695962,0.666447368421,0.658521104411,0.672449687717,0.66033664221,0.678129298487,0.672960215779,0.686585365854,0.66751836474,0.540500297796,0.673222912353,0.670632222978,0.655125128557,0.650532724505,0.667233174711,0.666805671393,0.5676967187,0.668348954578,0.672818791946,0.658506224066,0.675254237288,0.653299652668,0.644966442953,0.633015006821,0.65308988764,0.669616519174,0.646061814556,0.569806689168,0.655371304975,0.688034188034,0.657168299199,0.567298425956,0.668414558914,0.666428060129,0.616514360313,0.672116257947,0.689754689755,0.610535163911,0.640743289745,0.674551971326,0.661722025153,0.658408408408,0.675994108984,0.655144032922,0.673222912353,0.688030160226,0.659762308998,0.661096256684,0.589027911453,0.662797992472,0.680206318504,0.655900086133,0.65947403911,0.670126500162,0.669756662804,0.665808823529
