,Fructose and mannose metabolism,y,Fatty acid elongation,Citrate cycle (TCA cycle),Pentose phosphate pathway,Galactose metabolism,Ascorbate and aldarate metabolism,Pentose and glucuronate interconversions,Glycolysis - Gluconeogenesis,Fatty acid biosynthesis
enterococcus_faecium_Aus0085_nc_021994.1_KOxenterococcus_faecium_Aus0085_nc_021994.1_KO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enterococcus_faecium_Aus0085_nc_021994.1_KOxpseudomonas_aeruginosa_PAO1_nc_002516.2_KO,0.1081081081081081,1.0,0.0,0.0806451612903225,0.0595238095238095,0.0909090909090909,0.0655737704918032,0.0823529411764705,0.0857142857142857,0.1282051282051282
enterococcus_faecium_Aus0085_nc_021994.1_KOxstaphylococcus_haemolyticus_jcsc1435_nc_007168.1_KO,0.072072072072072,1.0,0.0,0.0161290322580645,0.0,0.0519480519480519,0.0655737704918032,0.0705882352941176,0.019047619047619,0.0
enterococcus_faecium_Aus0085_nc_021994.1_KOxpantoea_ananatis_lmg5342_nc_016816.1_KO,0.009009009009009,1.0,0.0,0.064516129032258,0.0,0.0649350649350649,0.0163934426229508,0.0117647058823529,0.0285714285714285,0.0
enterococcus_faecium_Aus0085_nc_021994.1_KOxe_coli_O103-H2-12009_nc_013353.1_KO,0.054054054054054,1.0,0.0,0.064516129032258,0.0595238095238095,0.0649350649350649,0.0163934426229508,0.0588235294117647,0.0571428571428571,0.0256410256410256
enterococcus_faecium_Aus0085_nc_021994.1_KOxpseudomonas_aeruginosa_PA7_nc_009656.1_KO,0.081081081081081,1.0,0.0,0.064516129032258,0.0714285714285714,0.0909090909090909,0.0655737704918032,0.0823529411764705,0.0761904761904762,0.0256410256410256
enterococcus_faecium_Aus0085_nc_021994.1_KOxenterococcus_faecalis_fdaargos338_cp_022059.1_KO,0.009009009009009,1.0,0.0,0.0161290322580645,0.0119047619047619,0.0129870129870129,0.0,0.0588235294117647,0.0095238095238095,0.0
enterococcus_faecium_Aus0085_nc_021994.1_KOxenterococcus_faecalis_BW2952_nc_012759.1_KO,0.054054054054054,1.0,0.0,0.064516129032258,0.0476190476190476,0.0909090909090909,0.0163934426229508,0.0823529411764705,0.0571428571428571,0.0256410256410256
enterococcus_faecium_Aus0085_nc_021994.1_KOxproteus_mirabilis_HI4320_nc_010554.1_KO,0.0990990990990991,0.0,0.0,0.0483870967741935,0.0,0.0649350649350649,0.0163934426229508,0.0705882352941176,0.0380952380952381,0.0
enterococcus_faecium_Aus0085_nc_021994.1_KOxenterococcus_faecalis_sorialis_nz_cp015883.1_KO,0.036036036036036,1.0,0.0,0.0483870967741935,0.0119047619047619,0.0779220779220779,0.0,0.0470588235294117,0.0285714285714285,0.1025641025641025
enterococcus_faecium_Aus0085_nc_021994.1_KOxe_coli_UTI89_nc_007946.1_KO,0.072072072072072,1.0,0.0,0.064516129032258,0.0476190476190476,0.0519480519480519,0.0163934426229508,0.0823529411764705,0.0380952380952381,0.0256410256410256
enterococcus_faecium_Aus0085_nc_021994.1_KOxstaphylococcus_haemolyticus_Sh29-312-L2_cp_cp011116.1_KO,0.0990990990990991,1.0,0.0,0.0806451612903225,0.0476190476190476,0.0389610389610389,0.0655737704918032,0.0823529411764705,0.0571428571428571,0.1025641025641025
enterococcus_faecium_Aus0085_nc_021994.1_KOxenterococcus_faecalis_LD33_nz_cp014949.1_KO,0.009009009009009,1.0,0.0,0.0483870967741935,0.0119047619047619,0.0389610389610389,0.0,0.0470588235294117,0.0285714285714285,0.1538461538461538
enterococcus_faecium_Aus0085_nc_021994.1_KOxpseudomonas_aeruginosa_NCGM2-S1_nc_017549.1_KO,0.1171171171171171,0.0,0.0,0.0806451612903225,0.0952380952380952,0.1038961038961039,0.0655737704918032,0.0823529411764705,0.1047619047619047,0.1794871794871795
enterococcus_faecium_Aus0085_nc_021994.1_KOxpseudomonas_aeruginosa_YCBPP-PA14_nc_008463.1_KO,0.09009009009009,1.0,0.0,0.064516129032258,0.0714285714285714,0.0909090909090909,0.0655737704918032,0.0823529411764705,0.0761904761904762,0.0256410256410256
enterococcus_faecium_Aus0085_nc_021994.1_KOxpseudomonas_aeruginosa_LESB58_nc_011770.1._KO,0.09009009009009,1.0,0.0,0.064516129032258,0.0714285714285714,0.0909090909090909,0.0655737704918032,0.0823529411764705,0.0761904761904762,0.0256410256410256
enterococcus_faecium_Aus0085_nc_021994.1_KOxstaphylococcus_aureus_mw2_nc_003923.1_KO,0.072072072072072,1.0,0.0,0.0161290322580645,0.0238095238095238,0.0,0.0163934426229508,0.0823529411764705,0.0,0.0
enterococcus_faecium_Aus0085_nc_021994.1_KOxproteus_mirabilis_BB2000_nc_022000.1_KO,0.1081081081081081,1.0,0.0,0.1129032258064516,0.0357142857142857,0.0909090909090909,0.0655737704918032,0.0823529411764705,0.0761904761904762,0.1025641025641025
enterococcus_faecium_Aus0085_nc_021994.1_KOxenterococcus_faecalis_L9_nz_cp018004.2_KO,0.063063063063063,1.0,0.0,0.0483870967741935,0.0119047619047619,0.0779220779220779,0.0,0.0705882352941176,0.0285714285714285,0.1538461538461538
enterococcus_faecium_Aus0085_nc_021994.1_KOxe_coli_O83-H1-NRG857C_nc_017634.1_KO,0.072072072072072,1.0,0.0,0.064516129032258,0.0476190476190476,0.0519480519480519,0.0163934426229508,0.0823529411764705,0.0380952380952381,0.0256410256410256
enterococcus_faecium_Aus0085_nc_021994.1_KOxserratia_liquefaciens_atcc27592_nc_021741.1_KO,0.036036036036036,1.0,0.0,0.0483870967741935,0.0,0.0649350649350649,0.0163934426229508,0.0588235294117647,0.0285714285714285,0.0
enterococcus_faecium_Aus0085_nc_021994.1_KOxpseudomonas_fluorescens_f113_nc_016830.1_KO,0.081081081081081,0.0,0.0,0.064516129032258,0.0357142857142857,0.0779220779220779,0.0655737704918032,0.0823529411764705,0.0666666666666666,0.0
enterococcus_faecium_Aus0085_nc_021994.1_KOxe_coli_HS_nc_009800.1_KO,0.072072072072072,1.0,0.0,0.064516129032258,0.0476190476190476,0.0779220779220779,0.0163934426229508,0.0823529411764705,0.0476190476190476,0.0256410256410256
enterococcus_faecium_Aus0085_nc_021994.1_KOxenterococcus_faecalis_L12_nz_cp018102.1_KO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enterococcus_faecium_Aus0085_nc_021994.1_KOxe_coli_O111-H-11128_nc_013364.1_KO,0.072072072072072,0.0,0.0,0.0483870967741935,0.0476190476190476,0.0909090909090909,0.0491803278688524,0.0823529411764705,0.0571428571428571,0.0256410256410256
enterococcus_faecium_Aus0085_nc_021994.1_KOxenterococcus_faecium_Aus004_nc_017022.1_KO,0.018018018018018,0.0,0.0,0.0806451612903225,0.0357142857142857,0.0519480519480519,0.0327868852459016,0.0117647058823529,0.0571428571428571,0.2051282051282051
enterococcus_faecium_Aus0085_nc_021994.1_KOxe_coli_SE15DNA_nc_013654.1_KO,0.063063063063063,0.0,0.0,0.064516129032258,0.0476190476190476,0.0649350649350649,0.0163934426229508,0.0588235294117647,0.0476190476190476,0.0256410256410256
enterococcus_faecium_Aus0085_nc_021994.1_KOxe_coli_ATCC8739_nc_010468.1_KO,0.054054054054054,0.0,0.0,0.0967741935483871,0.0595238095238095,0.0519480519480519,0.0327868852459016,0.0,0.0857142857142857,0.1794871794871795
enterococcus_faecium_Aus0085_nc_021994.1_KOxstaphylococcus_aureus_Newman_nc_009641.1_KO,0.072072072072072,0.0,0.0,0.0161290322580645,0.0238095238095238,0.0,0.0163934426229508,0.0823529411764705,0.0,0.0
enterococcus_faecium_Aus0085_nc_021994.1_KOxproteus_mirabilis_AR0155_nz_cp021694.1_KO,0.1171171171171171,0.0,0.0,0.0483870967741935,0.0833333333333333,0.0779220779220779,0.0163934426229508,0.0705882352941176,0.0761904761904762,0.0512820512820512
enterococcus_faecium_Aus0085_nc_021994.1_KOxe_coli_IAI39_nc_011750.1_KO,0.081081081081081,0.0,0.0,0.064516129032258,0.0238095238095238,0.0649350649350649,0.0163934426229508,0.0470588235294117,0.0571428571428571,0.1282051282051282
enterococcus_faecium_Aus0085_nc_021994.1_KOxpseudomonas_aeruginosa_SCV20265_nc_023149.1._KO,0.072072072072072,0.0,0.0,0.032258064516129,0.0476190476190476,0.0909090909090909,0.0655737704918032,0.0705882352941176,0.0571428571428571,0.0
enterococcus_faecium_Aus0085_nc_021994.1_KOxproteus_mirabilis_CYPM1_nz_cp012674.1_KO,0.1081081081081081,0.0,0.0,0.1129032258064516,0.0357142857142857,0.0909090909090909,0.0655737704918032,0.0823529411764705,0.0761904761904762,0.1025641025641025
enterococcus_faecium_Aus0085_nc_021994.1_KOxcitrobacter_koseri_fdaargos287_cp_022073.1_KO,0.018018018018018,0.0,0.0,0.0483870967741935,0.0,0.0389610389610389,0.0,0.0235294117647058,0.019047619047619,0.0
enterococcus_faecium_Aus0085_nc_021994.1_KOxenterococcus_faecalis_D32_nc_018221.1_KO,0.009009009009009,0.0,0.0,0.0483870967741935,0.0119047619047619,0.0389610389610389,0.0,0.0470588235294117,0.0285714285714285,0.1538461538461538
enterococcus_faecium_Aus0085_nc_021994.1_KOxe_coli_E24377A_nc_009801.1_KO,0.072072072072072,0.0,0.0,0.064516129032258,0.0476190476190476,0.0909090909090909,0.0163934426229508,0.0823529411764705,0.0571428571428571,0.0256410256410256
enterococcus_faecium_Aus0085_nc_021994.1_KOxklebsiella_pneumoniae_hs11286_nc_016845.1_KO,0.0,0.0,0.0,0.0483870967741935,0.0,0.0389610389610389,0.0,0.0117647058823529,0.019047619047619,0.0
enterococcus_faecium_Aus0085_nc_021994.1_KOxe_coli_K12-MG1655_nc_000913.3_KO,0.072072072072072,0.0,0.0,0.064516129032258,0.0476190476190476,0.0909090909090909,0.0163934426229508,0.0823529411764705,0.0571428571428571,0.0256410256410256
